process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
1,1x1,1024,4.43914,1.03342,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
2,1x2,1024,8.16853,0.561609,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
2,2x1,1024,8.21267,0.55859,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
4,1x4,1024,14.0731,0.325977,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
4,2x2,1024,14.3661,0.319329,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
4,4x1,1024,14.1746,0.323644,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
8,1x8,1024,26.1728,0.175278,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
8,2x4,1024,26.6767,0.171968,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
8,4x2,1024,24.8994,0.184242,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
8,8x1,1024,26.3816,0.173891,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
16,1x16,1024,24.0513,0.190739,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
16,2x8,1024,26.9338,0.170326,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
16,4x4,1024,26.7411,0.171553,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
16,8x2,1024,27.3719,0.1676,400x400,0.604165,0.992437,1
process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
16,16x1,1024,28.1995,0.162681,400x400,0.604165,0.992437,1
