Number of Cores,Geometry,Avg GFlops,Avg Communication Overhead (seconds),Avg Communication Overhead (%),Avg Running Time (seconds)
4,1x4,14.7876,-.0109,-3.5127,.3103
4,1x4,12.8371,.0218,8.2858,.2631
4,1x4,13.8896,-.0034,-2.0202,.1683
4,1x4,13.1517,-.0017,-1.3406,.1268
4,1x4,11.8640,.0026,2.5948,.1002
4,1x4,11.1181,-.0017,-2.2280,.0763
4,1x4,9.7202,.0005,.8038,.0622
4,1x4,8.1598,.0027,5.0656,.0533
4,1x4,7.4161,.0001,.2433,.0411
4,1x4,6.2144,-.0011,-3.1791,.0346
4,1x4,4.8477,.0009,2.8391,.0317
4,1x4,4.1777,.0003,1.1673,.0257
4,1x4,3.2898,.0009,3.8461,.0234
4,1x4,2.7216,.0001,.5050,.0198
4,1x4,2.1583,.0001,.6024,.0166
4,1x4,1.4856,.0003,2.0000,.0150
4,1x4,1.0337,-.0001,-.7633,.0131
4,1x4,.7150,.0001,.8000,.0125
8,1x8,22.5599,.0307,14.7171,.2086
8,1x8,22.8073,-.0170,-11.3788,.1494
8,1x8,22.6308,-.0378,-36.5570,.1034
8,1x8,19.9957,.0016,1.8779,.0852
8,1x8,18.2625,-.0026,-3.9877,.0652
8,1x8,14.5426,.0081,13.7055,.0591
8,1x8,12.7116,.0060,12.4223,.0483
8,1x8,10.8760,.0010,2.5188,.0397
8,1x8,9.5678,0,0,.0322
8,1x8,8.3348,-.0027,-10.4651,.0258
8,1x8,6.3010,.0022,8.9795,.0245
8,1x8,5.7124,-.0015,-7.9787,.0188
8,1x8,4.3994,.0007,4.0000,.0175
8,1x8,3.4491,.0008,5.0955,.0157
8,1x8,2.6573,.0005,3.6764,.0136
8,1x8,1.6651,.0016,11.8518,.0135
8,1x8,1.2621,-.0003,-2.8301,.0106
8,1x8,.8786,-.0006,-5.8823,.0102
16,1x16,23.2905,.0281,13.6673,.2056
16,1x16,24.1917,.0206,15.1248,.1362
16,1x16,23.6357,.0022,2.2244,.0989
16,1x16,22.0293,-.0040,-5.2840,.0757
16,1x16,19.4743,.0019,3.1045,.0612
16,1x16,15.7719,.0064,11.5523,.0554
16,1x16,16.0367,-.0009,-2.3746,.0379
16,1x16,14.3348,-.0048,-15.7894,.0304
16,1x16,10.3252,.0007,2.3569,.0297
16,1x16,8.7323,-.0004,-1.6260,.0246
16,1x16,6.7605,.0006,2.6548,.0226
16,1x16,5.6224,.0005,2.6178,.0191
16,1x16,4.8032,-.0012,-7.5000,.0160
16,1x16,3.5035,.0005,3.2679,.0153
16,1x16,2.5265,.0006,4.2253,.0142
16,1x16,1.7058,.0003,2.2388,.0134
16,1x16,1.0746,.0009,7.1428,.0126
16,1x16,.7560,-.0006,-5.0420,.0119
24,1x24,32.2016,-.0059,-4.1432,.1424
24,1x24,30.7728,-.0032,-3.0075,.1064
24,1x24,28.3718,.0016,1.9393,.0825
24,1x24,26.3170,-.0034,-5.3712,.0633
24,1x24,23.1715,-.0004,-.7812,.0512
24,1x24,20.4620,.0009,2.1739,.0414
24,1x24,17.6599,.0005,1.4534,.0344
24,1x24,14.2372,-.0004,-1.3245,.0302
24,1x24,11.9567,.0002,.7874,.0254
24,1x24,9.6637,-.0009,-4.0540,.0222
24,1x24,7.3155,.0011,5.2631,.0209
24,1x24,5.9641,.0004,2.2222,.0180
24,1x24,4.4546,.0007,4.0935,.0171
24,1x24,3.4142,0,0,.0157
24,1x24,2.4863,.0003,2.0833,.0144
24,1x24,1.6191,-.0003,-2.1739,.0138
24,1x24,1.0058,.0002,1.5037,.0133
24,1x24,.6848,0,0,.0130
