process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
4,1x4,1024,14.9432,0.306997,400x400,0.604165,0.992437,1
4,1x4,1024,14.527,0.315792,400x400,0.604165,0.992437,1
4,1x4,1024,15.0695,0.304424,400x400,0.604165,0.992437,1
4,1x4,1024,15.0368,0.305087,400x400,0.604165,0.992437,1
4,1x4,1024,14.3619,0.319422,400x400,0.604165,0.992437,1
4,1x4,731,14.546,0.225139,400x400,0.573456,0.992443,1
4,1x4,731,14.0454,0.233164,400x400,0.573456,0.992443,1
4,1x4,731,14.1664,0.231173,400x400,0.573456,0.992443,1
4,1x4,731,9.04905,0.361903,400x400,0.573456,0.992443,1
4,1x4,731,12.379,0.264551,400x400,0.573456,0.992443,1
4,1x4,522,13.9223,0.167973,400x400,0.579154,0.992442,1
4,1x4,522,13.7293,0.170333,400x400,0.579154,0.992442,1
4,1x4,522,13.9728,0.167365,400x400,0.579154,0.992442,1
4,1x4,522,14.0419,0.166541,400x400,0.579154,0.992442,1
4,1x4,522,13.7818,0.169685,400x400,0.579154,0.992442,1
4,1x4,372,13.1131,0.127091,400x400,0.630466,0.99243,1
4,1x4,372,12.5231,0.133079,400x400,0.630466,0.99243,1
4,1x4,372,13.2863,0.125435,400x400,0.630466,0.99243,1
4,1x4,372,13.4659,0.123762,400x400,0.630466,0.99243,1
4,1x4,372,13.3704,0.124645,400x400,0.630466,0.99243,1
4,1x4,265,12.1035,0.0980869,400x400,0.642706,0.99261,1
4,1x4,265,12.58,0.0943718,400x400,0.642706,0.99261,1
4,1x4,265,11.3528,0.104574,400x400,0.642706,0.99261,1
4,1x4,265,11.7785,0.100794,400x400,0.642706,0.99261,1
4,1x4,265,11.5056,0.103185,400x400,0.642706,0.99261,1
4,1x4,189,11.3817,0.0743934,400x400,0.64676,0.994989,1
4,1x4,189,11.5353,0.0734024,400x400,0.64676,0.994989,1
4,1x4,189,11.0468,0.0766483,400x400,0.64676,0.994989,1
4,1x4,189,10.0604,0.0841634,400x400,0.64676,0.994989,1
4,1x4,189,11.5665,0.0732047,400x400,0.64676,0.994989,1
4,1x4,135,9.26845,0.0652536,400x400,0.648244,0.996568,1
4,1x4,135,9.7561,0.061992,400x400,0.648244,0.996568,1
4,1x4,135,9.59006,0.0630653,400x400,0.648244,0.996568,1
4,1x4,135,9.98063,0.0605974,400x400,0.648244,0.996568,1
4,1x4,135,10.006,0.0604438,400x400,0.648244,0.996568,1
4,1x4,96,8.77657,0.0490032,400x400,0.648742,0.997655,1
4,1x4,96,8.55706,0.0502602,400x400,0.648742,0.997655,1
4,1x4,96,6.80201,0.0632284,400x400,0.648742,0.997655,1
4,1x4,96,7.50926,0.0572733,400x400,0.648742,0.997655,1
4,1x4,96,9.15456,0.0469798,400x400,0.648742,0.997655,1
4,1x4,68,7.7667,0.0392238,400x400,0.648918,0.998409,1
4,1x4,68,7.19623,0.0423333,400x400,0.648918,0.998409,1
4,1x4,68,7.56323,0.0402791,400x400,0.648918,0.998409,1
4,1x4,68,7.27069,0.0418997,400x400,0.648918,0.998409,1
4,1x4,68,7.28369,0.041825,400x400,0.648918,0.998409,1
4,1x4,48,6.09427,0.0352856,400x400,0.649293,0.998935,1
4,1x4,48,6.07519,0.0353964,400x400,0.649293,0.998935,1
4,1x4,48,6.53222,0.0329199,400x400,0.649293,0.998935,1
4,1x4,48,5.91948,0.0363275,400x400,0.649293,0.998935,1
4,1x4,48,6.45111,0.0333338,400x400,0.649293,0.998935,1
4,1x4,34,5.12164,0.0297405,400x400,0.65045,0.999296,1
4,1x4,34,4.56265,0.0333841,400x400,0.65045,0.999296,1
4,1x4,34,5.44177,0.0279909,400x400,0.65045,0.999296,1
4,1x4,34,4.04711,0.0376367,400x400,0.65045,0.999296,1
4,1x4,34,5.06555,0.0300698,400x400,0.65045,0.999296,1
4,1x4,24,4.25821,0.0252501,400x400,0.652939,0.999549,1
4,1x4,24,4.23392,0.0253949,400x400,0.652939,0.999549,1
4,1x4,24,4.26385,0.0252166,400x400,0.652939,0.999549,1
4,1x4,24,4.1368,0.0259911,400x400,0.652939,0.999549,1
4,1x4,24,3.99618,0.0269057,400x400,0.652939,0.999549,1
4,1x4,17,3.22719,0.0235995,400x400,0.656909,0.999721,1
4,1x4,17,2.64467,0.0287975,400x400,0.656909,0.999721,1
4,1x4,17,3.64467,0.0208963,400x400,0.656909,0.999721,1
4,1x4,17,3.31186,0.0229961,400x400,0.656909,0.999721,1
4,1x4,17,3.62087,0.0210336,400x400,0.656909,0.999721,1
4,1x4,12,2.72958,0.0196954,400x400,0.662242,0.999836,1
4,1x4,12,2.84527,0.0188945,400x400,0.662242,0.999836,1
4,1x4,12,2.86025,0.0187955,400x400,0.662242,0.999836,1
4,1x4,12,2.31554,0.0232171,400x400,0.662242,0.999836,1
4,1x4,12,2.85752,0.0188135,400x400,0.662242,0.999836,1
4,1x4,8,2.08059,0.0172259,400x400,0.669486,0.999917,1
4,1x4,8,2.16611,0.0165458,400x400,0.669486,0.999917,1
4,1x4,8,2.16533,0.0165517,400x400,0.669486,0.999917,1
4,1x4,8,2.04921,0.0174896,400x400,0.669486,0.999917,1
4,1x4,8,2.33036,0.0153796,400x400,0.669486,0.999917,1
4,1x4,5,1.54416,0.0145063,400x400,0.678138,0.999966,1
4,1x4,5,1.46451,0.0152952,400x400,0.678138,0.999966,1
4,1x4,5,1.40569,0.0159352,400x400,0.678138,0.999966,1
4,1x4,5,1.49301,0.0150033,400x400,0.678138,0.999966,1
4,1x4,5,1.52091,0.0147281,400x400,0.678138,0.999966,1
4,1x4,3,0.934443,0.0143829,400x400,0.686574,0.999989,1
4,1x4,3,0.94842,0.0141709,400x400,0.686574,0.999989,1
4,1x4,3,1.11953,0.0120051,400x400,0.686574,0.999989,1
4,1x4,3,1.19465,0.0112502,400x400,0.686574,0.999989,1
4,1x4,3,0.971918,0.0138283,400x400,0.686574,0.999989,1
4,1x4,2,0.669168,0.0133898,400x400,0.692036,0.999996,1
