process,geometry,iterations,gflops,time,grid_size,l2_norm,linf_norm,threads
4,2x2,1024,15.0436,0.304948,400x400,0.604165,0.992437,1
4,2x2,731,14.7962,0.221333,400x400,0.573456,0.992443,1
4,2x2,522,14.1509,0.165259,400x400,0.579154,0.992442,1
4,2x2,372,13.1835,0.126413,400x400,0.630466,0.99243,1
4,2x2,265,12.4487,0.0953673,400x400,0.642706,0.99261,1
4,2x2,189,11.1564,0.0758958,400x400,0.64676,0.994989,1
4,2x2,135,10.1563,0.059549,400x400,0.648244,0.996568,1
4,2x2,96,8.81582,0.048785,400x400,0.648742,0.997655,1
4,2x2,68,7.65342,0.0398044,400x400,0.648918,0.998409,1
4,2x2,48,5.8801,0.0365708,400x400,0.649293,0.998935,1
4,2x2,34,5.11292,0.0297912,400x400,0.65045,0.999296,1
4,2x2,24,4.11368,0.0261372,400x400,0.652939,0.999549,1
4,2x2,17,3.41894,0.0222759,400x400,0.656909,0.999721,1
4,2x2,12,2.91586,0.0184371,400x400,0.662242,0.999836,1
4,2x2,8,2.12198,0.0168899,400x400,0.669486,0.999917,1
4,2x2,5,1.53475,0.0145952,400x400,0.678138,0.999966,1
4,2x2,3,0.986236,0.0136276,400x400,0.686574,0.999989,1
4,2x2,2,0.856049,0.0104667,400x400,0.692036,0.999996,1
8,2x4,1024,24.6834,0.185854,400x400,0.604165,0.992437,1
8,2x4,731,21.286,0.153852,400x400,0.573456,0.992443,1
8,2x4,522,13.7227,0.170415,400x400,0.579154,0.992442,1
8,2x4,372,21.4325,0.0777586,400x400,0.630466,0.99243,1
8,2x4,265,19.4096,0.0611657,400x400,0.642706,0.99261,1
8,2x4,189,16.161,0.0523928,400x400,0.64676,0.994989,1
8,2x4,135,12.5771,0.0480875,400x400,0.648244,0.996568,1
8,2x4,96,11.8215,0.0363811,400x400,0.648742,0.997655,1
8,2x4,68,9.44101,0.0322677,400x400,0.648918,0.998409,1
8,2x4,48,7.09322,0.0303163,400x400,0.649293,0.998935,1
8,2x4,34,7.07435,0.0215313,400x400,0.65045,0.999296,1
8,2x4,24,5.66034,0.0189953,400x400,0.652939,0.999549,1
8,2x4,17,3.59523,0.0211836,400x400,0.656909,0.999721,1
8,2x4,12,2.61701,0.0205425,400x400,0.662242,0.999836,1
8,2x4,8,2.16305,0.0165692,400x400,0.669486,0.999917,1
8,2x4,5,2.01348,0.011125,400x400,0.678138,0.999966,1
8,2x4,3,1.18335,0.0113576,400x400,0.686574,0.999989,1
8,2x4,2,0.791155,0.0113252,400x400,0.692036,0.999996,1
16,2x8,1024,25.7151,0.178398,400x400,0.604165,0.992437,1
16,2x8,731,25.2945,0.12947,400x400,0.573456,0.992443,1
16,2x8,522,33.7584,0.0692735,400x400,0.579154,0.992442,1
